nombre_entidad,ind_ent_ncontratos,ind_ent_pcontr_directa_num,ind_ent_val_contratos,ind_ent_pcontr_directa_val,ind_ent_dif_pcontr_directa,ind_ent_HHI_num,ind_ent_HHI_val,ind_ent_dif_HHI,ind_ent_Idiversidad,ind_entidad_ncontratistas,ind_ent_ratio_contratistas,ind_ent_IC4K_num,ind_ent_IC4K_val,dif_IC4K,ind_ent_padicion_val,ind_ent_padicion_time,ind_ent_padicion_time_val,ind_ent_dif_adicion,ind_ent_median_val,ind_ent_median_sd,ind_ent_median_rango,at_ent_nivel,at_ent_orden,at_ent_dep
BOGOTÁ D.C. - CONTRALORÍA DE BOGOTÁ D.C.,39,0.05128205128205128,11744644194,0.04562480260353471,0.005657248678516573,335.30571992110436,1081.6707870071148,-746.3650670860104,0.008097165991902834,33,0.8461538461538461,0.20512820512820512,0.5337531529650357,-0.32862494783683055,0.20512820512820512,0.3076923076923077,0.1794871794871795,0.10256410256410259,144000000.0,477159301.6489544,2489465000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - DEFENSORIA DEL ESPACIO PUBLICO,8,0.0,12406807690,0.0,0.0,1250.0,3019.504177379112,-1769.5041773791122,0.0,8,1.0,0.5,0.917140171937331,-0.417140171937331,0.25,0.375,0.125,0.125,537721670.0,1972589997.8418722,5685299200,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. CENTRO DERMATOLÓGICO FEDERICO LLERAS ACOSTA,26,0.0,4110680402,0.0,0.0,562.130177514793,621.5823567084698,-59.452179193676784,0.018461538461538463,21,0.8076923076923077,0.34615384615384615,0.3663821892519875,-0.020228343098141366,0.38461538461538464,0.34615384615384615,0.23076923076923078,-0.03846153846153849,150000000.0,44238173.17314549,172899280,nacional,nac_descentralizado,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL BOSA II NIVEL,6,0.0,1007125931,0.0,0.0,1666.6666666666665,2323.484312323326,-656.8176456566594,0.0,6,1.0,0.6666666666666666,0.8585211683919992,-0.19185450172533258,0.0,0.0,0.0,0.0,147963009.0,115430660.79464507,349725913,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL CENTRO ORIENTE II NIVEL,52,0.0,3249537072,0.0,0.0,362.4260355029586,856.3376680863599,-493.91163258340134,0.017345399698340876,36,0.6923076923076923,0.25,0.45637713407813063,-0.20637713407813063,0.5,0.5384615384615384,0.4423076923076923,0.038461538461538436,27500000.0,107977245.87115628,724988000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL DE USME I NIVEL,15,0.0,2103265227,0.0,0.0,1199.9999999999998,1701.2235503429308,-501.22355034293105,0.05714285714285714,12,0.8,0.4666666666666667,0.752435724075231,-0.2857690574085643,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.13333333333333341,140000000.0,126055394.627222,467571894,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL LA VICTORIA III NIVEL,46,0.0,9291021095,0.0,0.0,661.625708884688,1205.0619699248878,-543.4362610401997,0.04541062801932367,23,0.5,0.41304347826086957,0.5594593631691673,-0.14641588490829777,0.5434782608695652,0.391304347826087,0.391304347826087,-0.15217391304347822,151234079.0,152341834.24324548,595000000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL MEISSEN II NIVEL,67,0.0,15697615707,0.0,0.0,265.09244820672745,434.93551942910835,-169.8430712223809,0.011759384893713252,51,0.7611940298507462,0.208955223880597,0.30861741377957663,-0.09966218989897963,0.0,0.0,0.0,0.0,161507876.0,199806665.02711228,1300000000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL OCCIDENTE DE KENNEDY III NIVEL,43,0.0,9334006600,0.0,0.0,329.908058409951,681.5115092718055,-351.60345086185447,0.009966777408637873,36,0.8372093023255814,0.23255813953488372,0.43365000406149273,-0.20109186452660902,0.23255813953488372,0.13953488372093023,0.11627906976744186,-0.09302325581395349,150000000.0,243478825.54208806,1209692000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL PABLO VI BOSA I NIVEL BOGOTÁ D.C.,128,1.0,23928159999,1.0,0.0,510.25390625,739.9353912019513,-229.68148495195135,0.04355314960629921,45,0.3515625,0.3671875,0.4629104519721914,-0.09572295197219138,0.0703125,0.1015625,0.0390625,0.03125,150000000.0,126541343.7980611,688500000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL RAFAEL URIBE URIBE,8,0.0,646356871,0.0,0.0,1250.0,1891.6756084324575,-641.6756084324575,0.0,8,1.0,0.5,0.8066083836834466,-0.30660838368344656,0.875,1.0,0.875,0.125,72000000.0,61884390.139767654,159356871,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL SAN BLAS II NIVEL DE ATENCIÓN,24,0.0,4815343711,0.0,0.0,694.4444444444442,1881.40531473055,-1186.9608702861055,0.028985507246376812,18,0.75,0.4166666666666667,0.7441905963667564,-0.32752392970008976,0.875,0.9166666666666666,0.875,0.04166666666666663,103985920.0,223878635.26952258,785000000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL SANTA CLARA III NIVEL,246,0.0,64824391047,0.0,0.0,322.8898142639961,629.3697546696557,-306.4799404056596,0.028339140534262487,99,0.4024390243902439,0.2764227642276423,0.43581435234025917,-0.1593915881126169,0.4959349593495935,0.47560975609756095,0.4349593495934959,-0.02032520325203252,150000000.0,835908631.8803982,7999030190,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL TUNJUELITO II NIVEL,19,0.0,3705727343,0.0,0.0,1191.135734072022,1776.6589500796422,-585.5232160076202,0.07017543859649122,11,0.5789473684210527,0.5789473684210527,0.7121691435245996,-0.13322177510354694,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.0,141667644.0,129797112.66167232,440000000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL UNIVERSITARIO DE LA SAMARITANA,1740,0.0,208381447360,0.0,0.0,43.20253666270294,107.51937257487765,-64.31683591217471,0.0037476948702187146,700,0.40229885057471265,0.06206896551724138,0.1448131735972985,-0.08274420808005713,0.2908045977011494,0.22298850574712645,0.12701149425287356,-0.06781609195402297,35064554.0,346256287.7806218,8300238195,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. HOSPITAL VISTA HERMOSA I NIVEL,44,0.0,8199751164,0.0,0.0,433.88429752066094,918.077384117926,-484.1930865972651,0.021141649048625793,32,0.7272727272727273,0.29545454545454547,0.5029421215982647,-0.2074875761437192,0.3409090909090909,0.6363636363636364,0.3181818181818182,0.29545454545454547,142469233.0,183647550.81707346,998329898,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - E.S.E. SAN CRISTOBAL,24,0.0,3959335905,0.0,0.0,486.11111111111074,729.4460571892033,-243.33494607809257,0.007246376811594203,22,0.9166666666666666,0.25,0.4214783764349491,-0.17147837643494912,0.16666666666666666,0.4166666666666667,0.125,0.25,133400000.0,131337820.67830856,574600712,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO,232,0.0,204863714404,0.0,0.0,121.87871581450678,227.48300280795522,-105.60428699344844,0.007911628601283773,171,0.7370689655172413,0.15517241379310345,0.20503913819098382,-0.04986672439788037,0.021551724137931036,0.09051724137931035,0.01293103448275862,0.06896551724137931,359951662.5,1431971509.4170876,11000715542,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - EMPRESA DE RENOVACIÓN Y DESARROLLO URBANO DE BOGOTÁ D.C.,11,0.2727272727272727,1425910686,0.31524840679958266,-0.04252113407230995,1239.6694214876036,1277.08196041516,-37.4125389275564,0.03636363636363636,9,0.8181818181818182,0.5454545454545454,0.6318700293406736,-0.08641548388612819,0.0,0.2727272727272727,0.0,0.2727272727272727,107508036.0,46122035.72696657,135135000,territorial,terri_dep_centr,bogotá-d.c.
BOGOTÁ D.C. - ENTIDAD PROMOTORA DE SALUD CONVIDA,60,0.0,77910108153,0.0,0.0,516.6666666666665,1769.656948270361,-1252.9902816036945,0.03559322033898305,34,0.5666666666666667,0.36666666666666664,0.7559594748262729,-0.38929280815960626,0.3333333333333333,0.36666666666666664,0.2833333333333333,0.033333333333333326,401250000.0,2298549895.489899,12428121813,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - FONDO ESPECIAL PARA LA ADMINISTRACIÓN DE BIENES DE LA FISCALÍA GENERAL DE LA NACIÓN,12,0.5,7871846501,0.44727247152910404,0.05272752847089596,972.2222222222222,3061.5687052815724,-2089.3464830593502,0.015151515151515152,11,0.9166666666666666,0.4166666666666667,0.8832179796845355,-0.46655131301786884,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666669,153927414.5,1120137039.48718,3618826295,nacional,nac_centralizado,bogotá-d.c.
BOGOTÁ D.C. - FONDO FINANCIERO DISTRITAL DE SALUD,142,0.33098591549295775,205914625519,0.6327393408147104,-0.30175342532175264,105.13786947034303,1552.2526926256435,-1447.1148231553004,0.0034961542303466185,110,0.7746478873239436,0.07746478873239436,0.5416030017290323,-0.46413821299663793,0.07746478873239436,0.15492957746478872,0.04225352112676056,0.07746478873239436,239783933.5,6634619988.858195,76317531000,territorial,nac_descentralizado,bogotá-d.c.
BOGOTÁ D.C. - HOSPITAL EL TUNAL,36,0.0,14127206207,0.0,0.0,385.8024691358025,658.7859271412129,-272.98345800541045,0.011111111111111112,30,0.8333333333333334,0.25,0.41854191263026985,-0.16854191263026985,0.0,0.0,0.0,0.0,269846441.0,333950171.3193876,1221783232,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - IDIPRON,96,0.020833333333333332,24315572205,0.020201343232177496,0.0006319901011558361,147.56944444444449,295.11641267381947,-147.54696822937498,0.0043859649122807015,79,0.8229166666666666,0.10416666666666667,0.2659069209430517,-0.161740254276385,0.13541666666666666,0.20833333333333334,0.11458333333333333,0.07291666666666669,160875574.0,311657076.2396693,2052138110,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - IDU,71,0.04225352112676056,30429777452,0.09254093311861925,-0.05028741199185868,295.57627454870055,499.40635614571585,-203.8300815970153,0.015694164989939637,50,0.704225352112676,0.23943661971830985,0.3545618070332248,-0.11512518731491497,0.29577464788732394,0.323943661971831,0.19718309859154928,0.02816901408450706,299252253.0,458698180.15473723,2198422944,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO AMAZÓNICO DE INVESTIGACIONES CIENTÍFICAS SINCHI,36,0.0,16177957176,0.0,0.0,447.53086419753083,1961.7089848096396,-1514.1781206121086,0.01746031746031746,29,0.8055555555555556,0.3055555555555556,0.7419439938811716,-0.436388438325616,0.08333333333333333,0.5,0.08333333333333333,0.4166666666666667,153759100.0,1108364777.3549926,5427944000,territorial,terri_dep_no_centr,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE GESTIÓN DE RIESGOS Y CAMBIO CLIMÁTICO - IDIGER,92,0.13043478260869565,25843669416,0.1905972150359749,-0.060162432427279255,160.6805293005669,362.8929217148961,-202.2123924143292,0.005255613951266125,77,0.8369565217391305,0.14130434782608695,0.29412581377836333,-0.1528214659522764,0.18478260869565216,0.4673913043478261,0.14130434782608695,0.28260869565217395,179098322.5,387308207.443985,2915663200,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE LAS ARTES IDARTES,63,0.0,16916159654,0.0,0.0,199.04257999496087,390.0947751808294,-191.05219518586853,0.00409626216077829,55,0.873015873015873,0.12698412698412698,0.3049223206391476,-0.17793819365502062,0.3968253968253968,0.6031746031746031,0.3333333333333333,0.20634920634920634,187860000.0,276252212.01235193,1394298646,territorial,nac_descentralizado,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE PARTICIPACION Y ACCION COMUNAL,9,0.2222222222222222,1115175612,0.2158753261903292,0.006346896031893007,1111.111111111111,1362.630006238659,-251.51889512754792,0.0,9,1.0,0.4444444444444444,0.5996682000610322,-0.15522375561658774,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,115489259.0,62529301.59767419,231455333,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE PROTECCIÓN Y BIENESTAR ANIMAL,6,0.0,1490597788,0.0,0.0,2222.222222222222,3077.527773955006,-855.3055517327839,0.06666666666666667,5,0.8333333333333334,0.8333333333333334,0.9288875907012952,-0.09555425736796186,0.5,0.8333333333333334,0.5,0.33333333333333337,192500000.0,203915010.14220482,543997788,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE,76,0.07894736842105263,33089092622,0.20706621941166628,-0.12811885099061365,173.13019390581707,578.999545132782,-405.86935122696497,0.004210526315789474,65,0.8552631578947368,0.11842105263157894,0.407635106954611,-0.2892140543230321,0.23684210526315788,0.5,0.18421052631578946,0.26315789473684215,209633399.5,788975788.1538059,5284673280,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO DISTRITAL DE TURISMO,7,0.0,631015216,0.0,0.0,1836.7346938775509,1846.6867635887288,-9.952069711177955,0.047619047619047616,6,0.8571428571428571,0.7142857142857143,0.7828362668199114,-0.06855055253419706,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,89846250.0,41305974.42756041,120167092,territorial,nac_descentralizado,bogotá-d.c.
BOGOTÁ D.C. - INSTITUTO PARA LA ECONOMIA SOCIAL - IPES,27,0.07407407407407407,7659059893,0.04797173610508023,0.02610233796899384,452.67489711934155,884.1230806880953,-431.4481835687538,0.008547008547008548,24,0.8888888888888888,0.25925925925925924,0.4987951687767276,-0.23953590951746834,0.2962962962962963,0.37037037037037035,0.2222222222222222,0.07407407407407407,173000000.0,316702394.2834686,1463873757,territorial,distr_capital,bogotá-d.c.
BOGOTÁ D.C. - JARDÍN BOTÁNICO,75,0.04,14474798778,0.035473344111727034,0.0045266558882729666,225.7777777777776,354.24739402815885,-128.46961625038125,0.009369369369369369,59,0.7866666666666666,0.18666666666666668,0.24982722692464637,-0.0631605602579797,0.3333333333333333,0.44,0.28,0.10666666666666669,112137000.0,230643764.36839342,1039120000,territorial,distr_capital,bogotá-d.c.
